id;name;personalRating (1-10);personalNotes;signatureItem;insiderTip;timesVisited;;;;;;;
jellykiss-cafe;JellyKiss - Cafe in Bed;6;Cozy, chill coffee;Bed coffee;no;1;;;;;;;
nha-ba-teria;Nhà Ba Teria;7;Art, stylish coffee;Craft matcha;yes;2;;;;;;;
ca-re-cafe-q7;Cà Rề Cafe Q7;7;Student Work Coffee, dog friendly ;Dog friendly;yes;6;;;;;;;
xocoati;XOCOATI - Artisan Cocoa Drinks;6;Apartment Coffee;Mayan-style cocoa drink;yes;2;;;;;;;
ky-tra-cac;Kỳ Trà Các - Trà Đạo Sài Gòn;9;Drink Tea with tradition;Ancient tea from 200-500 year old trees;yes;4;;;;;;;
tiem-ca-phe-to-vo;Tiệm Cà Phê Tò Vò;6;Coffee at the river;River coffee;no;2;;;;;;;
duoi-tan-cay;Tiệm Cà Phê Dưới Tán Cây (Sunset View);8;Sunset coffee, dog friendly;Sunset coffee;yes;4;;;;;;;
ca-viet-hoa;Cà Viết Hoa Cafe;9;Old school coffee, dog friendly;Dog friendly;yes;8;;;;;;;
mamoru-cafe;Mamoru Cafe;7;Japanese Style coffee;Matcha latte;no;1;;;;;;;
nams-coffee;Nam's Coffee & Cake;10;Nature style coffee, dog friendly;Homemade cakes;yes;3;;;;;;;
thiba-space;ThiBa Space;9;Work coffee;Open till 3am;yes;7;;;;;;;
shibui-concept;Shibui Concept;8;Matcha Apartment Coffee;Matcha Eggnog;yes;2;;;;;;;
ac-coffee;A+C Coffee Experience;7;Good tasting coffee, work coffee;Arabica Coffee;yes;2;;;;;;;
zero-coffee-bar;0.coffee&bar;8;Coffee bar, dog friendly;Coffee at day, bar at night;yes;5;;;;;;;
seventh-barista;The Seventh Barista;7;Hidden Work Coffee;Quiet Place for Work, Good Coffee;yes;6;;;;;;;
thanh-coffee;Thành Coffee;8;Work Coffee;Open till 12pm;yes;5;;;;;;;
thuyen-cafe;thuyen.cafe;5;Instagram Coffee;Average Drinks;no;1;;;;;;;
shining-glory;Cafe Shining Glory;6;Clean Coffee for work;Avocado coffee;no;1;;;;;;;
gathering-coffee;Gathering Coffee;5;Instagram Coffee;Good Place for taking photos;no;1;;;;;;;
giang-cafe;giang;5;Instagram Coffee;Matcha latte;no;1;;;;;;;
bel-building-coffee;BEL by Building Coffee;7;Work Coffee, Connection with expats;Espresso tonic;yes;5;;;;;;;
workflow-q3;WorkFlow Quận 3;10;Work Coffee;Good Workplace for work;yes;10;;;;;;;
barista-collective;Barista Collective;9;Nature style work coffee, dog friendly;Matcha latte;yes;3;;;;;;;
every-half;Every Half Coffee Roasters;7;Good tasting coffee, work coffee;Single-origin pour-over;yes;10;;;;;;;
vit-quang-minh;Quán Vịt Quang Minh;7;Local Duck Restaurant, North style;Duck Salad, Roasted Duck;yes;2;;;;;;;
xo-cajun;Xô Cajun;8;Student Style Cajun Restaurant;Cajun seafood (pick your sauce);yes;8;;;;;;;
bun-dau-46;Bún Đậu 46;9;North Style Bun Dau;Bún đậu mắm tôm;yes;3;;;;;;;
banh-trung-thu-kita;Bánh Trung Thu Kim Tân KiTa;8;Traditional Vietnamese Bakery;Mooncakes;yes;5;;;;;;;
chay-tue;Ẩm Thực Chay Tuệ;5;Good Vegetarian Restaurant;Pad Thai;yes;3;;;;;;;
bo-nuong-347;Quán Bò Nướng 347;6;Local style Bo La Lot, Street food ;Bò lá lốt (beef in betel leaf);yes;4;;;;;;;
tran-pizza;Trần Pizza;8;Very good pizza;Neapolitan pizza;yes;5;;;;;;;
lau-tru-danh;Lẩu Trứ Danh Sài Gòn;6;Local Hotpot Shop;Hotpot;yes;2;;;;;;;
ha-ky;Hủ Tiếu Gà Cá Hà Ký;8;Chinese style homemade noodle shop;Hủ tiếu gà (chicken noodle soup);yes;10;;;;;;;
aoya-ramen;Aoya Ramen;5;Ramen on the street;Street cart ramen;yes;1;;;;;;;
bep-ong-lap;Bún Bò Thố Đá Bếp Ông Lập;8;Very tasty bun bo chain, clean;Bún bò thố đá (stone pot beef noodle);yes;6;;;;;;;
maguro-studio;MAGURO Studio;9;Fresh Sushi, High End Restaurant;Fresh sushi;yes;2;;;;;;;
sono;Sóno;8;High End European Cuisine;Steak;yes;1;;;;;;;
ba-hi-saigon;Ba Hí Sài Gòn;6;Local burger, sandwich shop street food style;Korean-American fusion sandwich;yes;2;;;;;;;
burger-boss;Burger Boss;7;Tasty burger;Smash burger with Aussie beef;no;1;;;;;;;
cai-lo-nuong;Tiệm Bánh Cái Lò Nướng;7;Very Tasty homemade bakery;Low-sugar homemade cakes;yes;1;;;;;;;
tien-phat;Tiến Phát - Điểm Tâm Hồng Kông;9;Traditional Hong Kong Style Restaurant;Hong Kong dim sum;yes;7;;;;;;;
bo-cay-me;Quán Bò Cây Me;7;Local grilled beef restaurant;Grill beef;yes;2;;;;;;;
tony-scooter;TONY SCOOTER;7;Vespa Reparatur ;Vespa/Piaggio specialist;yes;1;;;;;;;
dolphy-cafe-duong-van-an;Dolphy Café 113 Dương Văn An Coffee;6;Relax coffee place for work or chill, dog friendly;Pure coffee;no;4;;;;;;;
logan-station-gentlemen-cafe;LOGAN STATION - The Gentlemen Café;6;Old school style coffee;Jazz atmosphere coffee;no;1;;;;;;;
ticos-coffee-phan-van-tri;Ticos Coffee;5;Student rustically style work coffee;Industrial style coffee;no;4;;;;;;;
chidori-coffee-in-bed-dinh-tien-hoang;Chidori - Coffee in Bed;8;Bed In coffee, perfect for nap, need pre reservation;Loft style coffee in bed concept;yes;9;;;;;;;
bac-viet-coffee-saigon;Bắc Việt Coffee;8;Local chill coffee, open till 3am;Classic 70s style coffee;yes;10;;;;;;;
unique-cafe-apartment;Unique Cafe;6;Good coffee for work;Cafe Apartment concept;yes;4;;;;;;;
the-running-bean-mac-thi-buoi;The running bean;8;Good coffee for work, clean, with food;Smoothie bowls and brunch;no;10;;;;;;;
fin-saigon-cafe;Fin Saigon Cafe;7;Local coffee for chill;Apartment cafe;yes;4;;;;;;;
